Code,Stock,Company,Market Type,Shariah,Sector
0821EA,MYETFDJ,MYETF DOW JONES ISLAMIC MARKET MALAYSIA TITANS 25,ETF,S,Equity Fund
0824EA,MYETFID,MYETF MSCI MALAYSIA ISLAMIC DIVIDEND,ETF,S,Equity Fund
03010,MYKRIS,MYKRIS INTERNATIONAL BERHAD,LEAP,NS,Telecommunications Service Providers
5275,MYNEWS,MYNEWS HOLDINGS BERHAD,MAIN,NS,Retailers
0108,N2N,N2N CONNECT BERHAD,ACE,S,Software
0206,NADIBHD,GAGASAN NADI CERGAS BERHAD,ACE,S,Construction
5073,NAIM,NAIM HOLDINGS BERHAD,MAIN,S,Property
9806,NATWIDE,NATIONWIDE EXPRESS HOLDINGS BERHAD,MAIN,S,Transportation & Logistics Services
4707,NESTLE,NESTLE (MALAYSIA) BERHAD,MAIN,S,Food & Beverages
0020,NETX,NETX HOLDINGS BERHAD,ACE,NS,Software
0096,NEXGRAM,NEXGRAM HOLDINGS BERHAD,ACE,S,Telecommunications Equipment
7241,NGGB,NEXTGREEN GLOBAL BERHAD,MAIN,S,Industrial Services
7060,NHFATT,NEW HOONG FATT HOLDINGS BERHAD,MAIN,S,Automotive
7139,NICE,NICHE CAPITAL EMAS HOLDINGS BERHAD,MAIN,S,Personal Goods
7215,NIHSIN,NI HSIN RESOURCES BERHAD,MAIN,S,Household Goods
0083,NOTION,NOTION VTEC BERHAD,MAIN,S,Technology Equipment
0201,NOVA,NOVA WELLNESS GROUP BERHAD,MAIN,NS,Pharmaceuticals
0026,NOVAMSC,NOVA MSC BERHAD,ACE,S,Software
5047,NPC,NPC RESOURCES BERHAD,MAIN,S,Plantation
03006,NPS,NOVA PHARMA SOLUTIONS BERHAD,LEAP,S,Pharmaceuticals
2038,NSOP,NEGRI SEMBILAN OIL PALMS BERHAD,MAIN,NS,Plantation
5066,NTPM,NTPM HOLDINGS BERHAD,MAIN,NS,Household Goods
5025,NWP,NWP HOLDINGS BERHAD,MAIN,S,Wood & Wood Products
4944,NYLEX,NYLEX (MALAYSIA) BERHAD,MAIN,S,Chemicals
5533,OCB,OCB BERHAD,MAIN,S,Food & Beverages
0172,OCK,OCK GROUP BERHAD,MAIN,S,Telecommunications Service Providers
0049,OCNCASH,OCEANCASH PACIFIC BERHAD,MAIN,S,Personal Goods
7071,OCR,OCR GROUP BERHAD,MAIN,S,Construction
7107,OFI,ORIENTAL FOOD INDUSTRIES HOLDINGS BERHAD,MAIN,S,Food & Beverages
5827,OIB,ORIENTAL INTEREST BERHAD,MAIN,S,Property
7140,OKA,OKA CORPORATION BHD,MAIN,S,Building Materials
3018,OLYMPIA,OLYMPIA INDUSTRIES BERHAD,MAIN,NS,"Travel, Leisure & Hospitality "
9008,OMESTI,OMESTI BHD,MAIN,S,Digital Services
0035,OPCOM,OPCOM HOLDINGS BERHAD,ACE,S,Telecommunications Equipment
0040,OPENSYS,OPENSYS (M) BERHAD,ACE,S,Software
0222,OPTIMAX,OPTIMAX HOLDINGS BERHAD,ACE,S,Health Care Providers
4006,ORIENT,ORIENTAL HOLDINGS BERHAD,MAIN,NS,Automotive
0079,ORION,ORION IXL BERHAD,ACE,S,Software
5065,ORNA,ORNAPAPER BERHAD,MAIN,S,Packaging Materials
5053,OSK,OSK HOLDINGS BERHAD,MAIN,NS,Property
0053,OSKVI,OSK VENTURES INTERNATIONAL BERHAD,ACE,NS,Other Financials
0153,OVERSEA,OVERSEA ENTERPRISE BERHAD,ACE,NS,"Travel, Leisure & Hospitality "
0220,OVH,OCEAN VANTAGE HOLDINGS BERHAD,ACE,S,"Energy Infrastructure, Equipment & Services "
5260,OWG,ONLY WORLD GROUP HOLDINGS BERHAD,MAIN,NS,"Travel, Leisure & Hospitality "
6009,P&O,PACIFIC & ORIENT BERHAD,MAIN,NS,Insurance
7225,PA,P.A. RESOURCES BERHAD,MAIN,S,Metals
7052,PADINI,PADINI HOLDINGS BERHAD,MAIN,S,Retailers
3719,PANAMY,PANASONIC MANUFACTURING MALAYSIA BERHAD,MAIN,NS,Household Goods
8419,PANSAR,PANSAR BERHAD,MAIN,S,Building Materials
5125,PANTECH,PANTECH GROUP HOLDINGS BERHAD,MAIN,S,Metals
5022,PAOS,PAOS HOLDINGS BERHAD,MAIN,S,Household Goods
9407,PARAGON,PARAGON UNION BERHAD,MAIN,S,Household Goods
1724,PARAMON,PARAMOUNT CORPORATION BERHAD,MAIN,S,Property
5657,PARKSON,PARKSON HOLDINGS BERHAD,MAIN,S,Retailers
2682,PARKWD,PARKWOOD HOLDINGS BERHAD,MAIN,NS,Property
0022,PARLO,PARLO BERHAD,ACE,S,"Travel, Leisure & Hospitality "
6912,PASDEC,PASDEC HOLDINGS BERHAD,MAIN,S,Property
0177,PASUKGB,PASUKHAS GROUP BERHAD,ACE,S,Industrial Engineering
5212,PAVREIT,PAVILION REAL ESTATE INVESTMENT TRUST,MAIN,NS,Real Estate Investment Trusts
5041,PBA,PBA HOLDINGS BHD,MAIN,S,"Gas, Water & Multi-utilities "
1295,PBBANK,PUBLIC BANK BERHAD,MAIN,NS,Banking
6068,PCCS,PCCS GROUP BERHAD,MAIN,S,Personal Goods
5183,PCHEM,PETRONAS CHEMICALS GROUP BERHAD,MAIN,S,Chemicals
6254,PDZ,PDZ HOLDINGS BHD,MAIN,S,Transportation & Logistics Services
5622,PEB,PIMPINAN EHSAN BERHAD,MAIN,S,Construction
5271,PECCA,PECCA GROUP BERHAD,MAIN,S,Auto Parts
5231,PELIKAN,PELIKAN INTERNATIONAL CORPORATION BERHAD,MAIN,S,Consumer Services
5133,PENERGY,PETRA ENERGY BERHAD,MAIN,S,"Energy Infrastructure, Equipment & Services "
9997,PENSONI,PENSONIC HOLDINGS BERHAD,MAIN,NS,Household Goods
7160,PENTA,PENTAMASTER CORPORATION BERHAD,MAIN,S,Technology Equipment
7108,PERDANA,PERDANA PETROLEUM BERHAD,MAIN,S,"Energy Infrastructure, Equipment & Services "
7080,PERMAJU,PERMAJU INDUSTRIES BERHAD,MAIN,S,Automotive
5436,PERSTIM,PERUSAHAAN SADUR TIMAH MALAYSIA (PERSTIMA) BHD,MAIN,S,Metals
8532,PERTAMA,PERTAMA DIGITAL BERHAD,MAIN,NS,Personal Goods
8311,PESONA,PESONA METRO HOLDINGS BERHAD,MAIN,S,Construction
5219,PESTECH,PESTECH INTERNATIONAL BERHAD,MAIN,S,Industrial Engineering
5681,PETDAG,PETRONAS DAGANGAN BHD,MAIN,S,Retailers
6033,PETGAS,PETRONAS GAS BERHAD,MAIN,S,"Gas, Water & Multi-utilities "
3042,PETRONM,PETRON MALAYSIA REFINING & MARKETING BHD,MAIN,S,Oil & Gas Producers
3611,PGLOBE,PARAGON GLOBE BERHAD,MAIN,S,Property
7081,PHARMA,PHARMANIAGA BERHAD,MAIN,S,Pharmaceuticals
4464,PHB,PEGASUS HEIGHTS BERHAD,MAIN,S,Property
7201,PICORP,PROGRESSIVE IMPACT CORPORATION BERHAD,MAIN,S,Industrial Services
7095,PIE,P.I.E. INDUSTRIAL BERHAD,MAIN,S,"Industrial Materials, Components & Equipment "
0006,PINEAPP,PINEAPPLE RESOURCES BERHAD,ACE,S,Digital Services
1902,PINEPAC,PINEHILL PACIFIC BERHAD,MAIN,S,Plantation
7163,PJBUMI,PJBUMI BERHAD,MAIN,S,Industrial Services
0171,PLABS,PETERLABS HOLDINGS BERHAD,ACE,NS,Agricultural Products
7055,PLB,PLB ENGINEERING BERHAD,MAIN,NS,Property
5075,PLENITU,PLENITUDE BERHAD,MAIN,S,Property
9695,PLS,PLS PLANTATIONS BERHAD,MAIN,S,Plantation
7172,PMBTECH,PMB TECHNOLOGY BERHAD,MAIN,S,Metals
4081,PMCORP,PAN MALAYSIA CORPORATION BERHAD,MAIN,S,"Travel, Leisure & Hospitality "
8869,PMETAL,PRESS METAL ALUMINIUM HOLDINGS BERHAD,MAIN,S,Metals
1287,PMHLDG,PAN MALAYSIA HOLDINGS BERHAD,MAIN,S,"Travel, Leisure & Hospitality "
6637,PNEPCB,PNE PCB BERHAD,MAIN,S,"Industrial Materials, Components & Equipment "
5080,POHKONG,POH KONG HOLDINGS BERHAD,MAIN,S,Retailers
7088,POHUAT,POH HUAT RESOURCES HOLDINGS BERHAD,MAIN,S,Household Goods
8117,POLY,POLY GLASS FIBRE (M) BERHAD,MAIN,S,Building Materials
03031,POLYDM,POLYDAMIC GROUP BERHAD,LEAP,NS,"Industrial Materials, Components & Equipment "
4634,POS,POS MALAYSIA BERHAD,MAIN,S,Transportation & Logistics Services
4065,PPB,PPB GROUP BERHAD,MAIN,S,Food & Beverages
7190,PPG,PELANGI PUBLISHING GROUP BHD.,MAIN,S,Media
8273,PPHB,PUBLIC PACKAGES HOLDINGS BHD,MAIN,S,Packaging Materials
9873,PRESTAR,PRESTAR RESOURCES BERHAD,MAIN,S,Metals
7168,PRG,PRG HOLDINGS BERHAD,MAIN,S,Personal Goods
0123,PRIVA,PRIVASIA TECHNOLOGY BERHAD,ACE,S,Telecommunications Equipment
8346,PRKCORP,PERAK CORPORATION BERHAD,MAIN,NS,Transportation & Logistics Services
8966,PRLEXUS,PROLEXUS BERHAD,MAIN,S,Personal Goods
5070,PRTASCO,PROTASCO BERHAD,MAIN,S,Construction
9598,PTARAS,PINTARAS JAYA BHD,MAIN,S,Construction
0186,PTRANS,PERAK TRANSIT BERHAD,MAIN,S,"Travel, Leisure & Hospitality "
0007,PUC,PUC BERHAD,ACE,S,Media
6807,PUNCAK,PUNCAK NIAGA HOLDINGS BERHAD,MAIN,S,Construction
7134,PWF,PWF CONSOLIDATED BERHAD,MAIN,S,Agricultural Products
7123,PWORTH,PRICEWORTH INTERNATIONAL BERHAD,MAIN,S,Wood & Wood Products
7237,PWROOT,POWER ROOT BERHAD,MAIN,S,Food & Beverages
0217,PWRWELL,POWERWELL HOLDINGS BERHAD,ACE,S,"Industrial Materials, Components & Equipment "
0196,QES,QES GROUP BERHAD,ACE,S,"Industrial Materials, Components & Equipment "
7084,QL,QL RESOURCES BERHAD,MAIN,S,Agricultural Products
7544,QUALITY,QUALITY CONCRETE HOLDINGS BERHAD,MAIN,S,Building Materials
7498,RALCO,RALCO CORPORATION BERHAD,MAIN,S,Chemicals
5272,RANHILL,RANHILL UTILITIES BERHAD,MAIN,S,"Gas, Water & Multi-utilities "
7765,RAPID,RAPID SYNERGY BERHAD,MAIN,NS,Property
9296,RCECAP,RCE CAPITAL BERHAD,MAIN,NS,Other Financials
5256,REACH,REACH ENERGY BERHAD,MAIN,S,Oil & Gas Producers
03002,REDIDEA,RED IDEAS HOLDINGS BERHAD,LEAP,NS,Digital Services
0032,REDTONE,REDTONE INTERNATIONAL BERHAD,ACE,S,Telecommunications Service Providers
7232,RESINTC,RESINTECH BERHAD,MAIN,S,Building Materials
0173,REV,REV ASIA BERHAD,ACE,NS,Media
0200,REVENUE,REVENUE GROUP BERHAD,ACE,S,Digital Services
9946,REX,REX INDUSTRY BERHAD,MAIN,S,Food & Beverages
0106,REXIT,REXIT BERHAD,ACE,NS,Software
0037,RGB,RGB INTERNATIONAL BHD,MAIN,NS,"Travel, Leisure & Hospitality "
9954,RGTBHD,RGT BERHAD,MAIN,S,Chemicals
0202,RGTECH,RADIANT GLOBALTECH BERHAD,ACE,S,Digital Services
1066,RHBBANK,RHB BANK BERHAD,MAIN,NS,Banking
5278,RHONEMA,RHONE MA HOLDINGS BERHAD,MAIN,NS,Agricultural Products
0219,RL,RESERVOIR LINK ENERGY BHD,ACE,S,"Energy Infrastructure, Equipment & Services "
9741,ROHAS,ROHAS TECNIC BERHAD,MAIN,S,Industrial Engineering
03036,RPLANET,REDPLANET BERHAD,LEAP,NS,Digital Services
5113,RSAWIT,RIMBUNAN SAWIT BERHAD,MAIN,S,Plantation
5270,RSENA,RED SENA BERHAD,MAIN,NS,Special Purpose Acquisition Company
7803,RUBEREX,RUBBEREX CORPORATION (M) BERHAD,MAIN,S,"Industrial Materials, Components & Equipment "
2542,RVIEW,RIVERVIEW RUBBER ESTATES BERHAD,MAIN,S,Plantation
8745,S&FCAP,S & F CAPITAL BERHAD,MAIN,S,Wood & Wood Products
5134,SAB,SOUTHERN ACIDS (M) BERHAD,MAIN,S,Chemicals
8567,SALCON,SALCON BERHAD,MAIN,S,"Gas, Water & Multi-utilities "
0183,SALUTE,SALUTICA BERHAD,MAIN,S,Personal Goods
9822,SAM,SAM ENGINEERING & EQUIPMENT (M) BERHAD,MAIN,S,"Industrial Materials, Components & Equipment "
0223,SAMAIDEN,SAMAIDEN GROUP BERHAD,ACE,S,Industrial Services
5147,SAMCHEM,SAMCHEM HOLDINGS BERHAD,MAIN,NS,Chemicals
0133,SANICHI,SANICHI TECHNOLOGY BERHAD,ACE,S,"Industrial Materials, Components & Equipment "
7811,SAPIND,SAPURA INDUSTRIAL BERHAD,MAIN,S,Auto Parts
5218,SAPNRG,SAPURA ENERGY BERHAD,MAIN,S,"Energy Infrastructure, Equipment & Services "
4596,SAPRES,SAPURA RESOURCES BERHAD,MAIN,S,Property
5252,SASBADI,SASBADI HOLDINGS BERHAD,MAIN,S,Media
5157,SAUDEE,SAUDEE GROUP BERHAD,MAIN,S,Food & Beverages
2569,SBAGAN,SUNGEI BAGAN RUBBER COMPANY (MALAYA) BERHAD,MAIN,NS,Plantation
5207,SBCCORP,SBC CORPORATION BERHAD,MAIN,S,Property
5170,SCABLE,SARAWAK CABLE BERHAD,MAIN,S,"Industrial Materials, Components & Equipment "
0109,SCBUILD,SC ESTATE BUILDER BERHAD,ACE,S,Construction
0158,SCC,SCC HOLDINGS BERHAD,ACE,NS,Consumer Services
0225,SCGBHD,SOUTHERN CABLE GROUP BERHAD,ACE,NS,"Industrial Materials, Components & Equipment "
7247,SCGM,SCGM BHD,MAIN,S,Packaging Materials
9237,SCIB,SARAWAK CONSOLIDATED INDUSTRIES BERHAD,MAIN,S,Building Materials
0099,SCICOM,SCICOM (MSC) BERHAD,MAIN,NS,Industrial Services
4731,SCIENTX,SCIENTEX BERHAD,MAIN,S,Packaging Materials
7239,SCNWOLF,SCANWOLF CORPORATION BERHAD,MAIN,S,Building Materials
7158,SCOMI,SCOMI GROUP BERHAD,MAIN,S,"Energy Infrastructure, Equipment & Services "
7045,SCOMIES,SCOMI ENERGY SERVICES BHD,MAIN,S,"Energy Infrastructure, Equipment & Services "
0001,SCOMNET,SUPERCOMNET TECHNOLOGIES BERHAD,ACE,S,Health Care Equipment & Services
0028,SCOPE,SCOPE INDUSTRIES BERHAD,ACE,S,"Industrial Materials, Components & Equipment "
2224,SDRED,SELANGOR DREDGING BERHAD,MAIN,S,Property
0212,SDS,SDS GROUP BERHAD,ACE,S,Food & Beverages
7073,SEACERA,SEACERA GROUP BERHAD,MAIN,S,Building Materials
4286,SEAL,SEAL INCORPORATED BERHAD,MAIN,S,Property
5145,SEALINK,SEALINK INTERNATIONAL BERHAD,MAIN,S,Transportation Equipment
5163,SEB,SEREMBAN ENGINEERING BERHAD,MAIN,NS,Industrial Engineering
0178,SEDANIA,SEDANIA INNOVATOR BERHAD,ACE,S,Telecommunications Equipment
7053,SEEHUP,SEE HUP CONSOLIDATED BERHAD,MAIN,S,Transportation & Logistics Services
03009,SEERS,SEERS BERHAD,LEAP,S,Household Goods
9792,SEG,SEG INTERNATIONAL BHD,MAIN,S,Consumer Services
5250,SEM,7-ELEVEN MALAYSIA HOLDINGS BERHAD,MAIN,NS,Retailers
5205,SENDAI,EVERSENDAI CORPORATION BERHAD,MAIN,S,Construction
5123,SENTRAL,SENTRAL REIT,MAIN,NS,Real Estate Investment Trusts
5279,SERBADK,SERBA DINAMIK HOLDINGS BERHAD,MAIN,S,"Energy Infrastructure, Equipment & Services "
7180,SERNKOU,SERN KOU RESOURCES BERHAD,MAIN,S,Household Goods
0055,SERSOL,SERSOL BERHAD,ACE,S,Chemicals
03033,SGBHD,SUPERGENICS BERHAD,LEAP,NS,Industrial Services
5517,SHANG,SHANGRI-LA HOTELS (MALAYSIA) BERHAD,MAIN,NS,"Travel, Leisure & Hospitality "
4316,SHCHAN,SIN HENG CHAN (MALAYA) BERHAD,MAIN,S,Plantation
7412,SHH,SHH RESOURCES HOLDINGS BERHAD,MAIN,S,Household Goods
6017,SHL,SHL CONSOLIDATED BHD,MAIN,NS,Property
7246,SIGN,SIGNATURE INTERNATIONAL BERHAD,MAIN,S,Household Goods
4197,SIME,SIME DARBY BERHAD,MAIN,S,Automotive
5285,SIMEPLT,SIME DARBY PLANTATION BERHAD,MAIN,S,Plantation
5288,SIMEPROP,SIME DARBY PROPERTY BERHAD,MAIN,S,Property
9431,SJC,SENI JAYA CORPORATION BERHAD,MAIN,S,Media
7115,SKBSHUT,SKB SHUTTERS CORPORATION BERHAD,MAIN,S,Building Materials
7155,SKPRES,SKP RESOURCES BHD,MAIN,S,"Industrial Materials, Components & Equipment "
03008,SLIC,SL INNOVATION CAPITAL BERHAD,LEAP,S,Digital Services
7248,SLP,SLP RESOURCES BERHAD,MAIN,S,Packaging Materials
0215,SLVEST,SOLARVEST HOLDINGS BERHAD,ACE,S,Industrial Services
9776,SMCAP,SINMAH CAPITAL BERHAD,MAIN,S,Agricultural Products
0203,SMETRIC,SECUREMETRIC BERHAD,ACE,S,Software
4375,SMI,SOUTH MALAYSIA INDUSTRIES BERHAD,MAIN,S,Property
03023,SMILE,SMILE-LINK HEALTHCARE GLOBAL BERHAD,LEAP,S,Health Care Providers
7132,SMISCOR,SMIS CORPORATION BERHAD,MAIN,S,Auto Parts
0117,SMRT,SMRT HOLDINGS BERHAD,ACE,S,Digital Services
0169,SMTRACK,SMTRACK BERHAD,ACE,S,Technology Equipment
7943,SNC,SAND NISKO CAPITAL BERHAD,MAIN,S,Household Goods
5213,SNTORIA,SENTORIA GROUP BERHAD,MAIN,NS,Property
5242,SOLID,SOLID AUTOMOTIVE BERHAD,MAIN,S,Automotive
0093,SOLUTN,SOLUTION GROUP BERHAD,ACE,S,Digital Services
5126,SOP,SARAWAK OIL PALMS BERHAD,MAIN,S,Plantation
0216,SPRING,SPRING ART HOLDINGS BERHAD,ACE,S,Household Goods
7103,SPRITZER,SPRITZER BHD,MAIN,S,Food & Beverages
8664,SPSETIA,S P SETIA BERHAD,MAIN,S,Property
0129,SRIDGE,SILVER RIDGE HOLDINGS BHD,ACE,S,Telecommunications Equipment
5665,SSTEEL,SOUTHERN STEEL BERHAD,MAIN,NS,Metals
6084,STAR,STAR MEDIA GROUP BERHAD,MAIN,S,Media
5006,STELLA,STELLA HOLDINGS BERHAD,MAIN,S,Construction
0080,STRAITS,STRAITS INTER LOGISTICS BERHAD,ACE,S,Transportation & Logistics Services
6904,SUBUR,SUBUR TIASA HOLDINGS BERHAD,MAIN,NS,Wood & Wood Products
7207,SUCCESS,SUCCESS TRANSFORMER CORPORATION BERHAD,MAIN,S,"Industrial Materials, Components & Equipment "
1201,SUMATEC,SUMATEC RESOURCES BERHAD,MAIN,S,Oil & Gas Producers
5263,SUNCON,SUNWAY CONSTRUCTION GROUP BERHAD,MAIN,S,Construction
5176,SUNREIT,SUNWAY REAL ESTATE INVESTMENT TRUST,MAIN,NS,Real Estate Investment Trusts
3743,SUNSURIA,SUNSURIA BERHAD,MAIN,S,Property
5211,SUNWAY,SUNWAY BERHAD,MAIN,S,Diversified Industrials
0148,SUNZEN,SUNZEN BIOTECH BERHAD,ACE,S,Agricultural Products
7235,SUPERLN,SUPERLON HOLDINGS BERHAD,MAIN,S,Building Materials
7106,SUPERMX,SUPERMAX CORPORATION BERHAD,MAIN,S,Health Care Equipment & Services
03018,SUPREME,SUPREME CONSOLIDATED RESOURCES BERHAD,LEAP,S,Consumer Services
6521,SURIA,SURIA CAPITAL HOLDINGS BERHAD,MAIN,S,Transportation & Logistics Services
5135,SWKPLNT,SARAWAK PLANTATION BERHAD,MAIN,S,Plantation
7186,SWSCAP,SWS CAPITAL BERHAD,MAIN,S,Household Goods
